local-authority-code,label
ABC,Northern Ireland; Emissions: Industry/Commerical/Domestic; 1st IMD quintile; Sparse and rural
PEN,North West; Emissions: Transport/Domestic; 1st IMD quintile; Urban
PKN,Scotland; Emissions: Transport/Domestic; 5th IMD quintile; Sparse and rural
PLY,South West; Emissions: Urban Mainstream; 2nd IMD quintile; Urban
POR,South East; Emissions: Urban Mainstream; 2nd IMD quintile; Urban
POW,Wales; Emissions: Agriculture; 4th IMD quintile; Sparse and rural
PRE,North West; Emissions: Public sector; 1st IMD quintile; Urban
PTE,East of England; Emissions: Transport/Domestic; 2nd IMD quintile; Urban
RCC,North East; Emissions: Industry/Commerical/Domestic; 1st IMD quintile; Urban with rural areas
RCH,North West; Emissions: Urban Mainstream; 1st IMD quintile; Urban
RCT,Wales; Emissions: Transport/Domestic; 2nd IMD quintile; Urban with rural areas
RDB,London; Emissions: Urban Mainstream; 4th IMD quintile; Urban
RDG,South East; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
RED,West Midlands; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
REI,South East; Emissions: Urban Mainstream; 5th IMD quintile; Urban
RFW,Scotland; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
RIB,North West; Emissions: Agriculture; 5th IMD quintile; Rural
RIC,London; Emissions: Urban Mainstream; 5th IMD quintile; Urban
RIH,Yorkshire and The Humber; Emissions: Agriculture; 5th IMD quintile; Rural
ROC,East of England; Emissions: Urban Mainstream; 5th IMD quintile; Urban
ROH,South East; Emissions: Transport/Domestic; 3rd IMD quintile; Rural
ROS,North West; Emissions: Transport/Domestic; 3rd IMD quintile; Urban
ROT,Yorkshire and The Humber; Emissions: Urban Mainstream; 1st IMD quintile; Urban
RUG,West Midlands; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
RUH,South East; Emissions: Urban Mainstream; 4th IMD quintile; Urban
RUN,South East; Emissions: Public sector; 5th IMD quintile; Urban
RUS,East Midlands; Emissions: Transport/Domestic; 5th IMD quintile; Rural
RUT,East Midlands; Emissions: Transport/Domestic; 5th IMD quintile; Rural
RYE,Yorkshire and The Humber; Emissions: Agriculture; 4th IMD quintile; Sparse and rural
SAL,East of England; Emissions: Urban Mainstream; 5th IMD quintile; Urban
SAW,West Midlands; Emissions: Urban Mainstream; 1st IMD quintile; Urban
SAY,Scotland; Emissions: Transport/Domestic; 3rd IMD quintile; Urban with rural areas
SCA,East of England; Emissions: Transport/Domestic; 5th IMD quintile; Rural
SCB,Scotland; Emissions: Agriculture; 4th IMD quintile; Sparse and rural
SCE,Yorkshire and The Humber; Emissions: Transport/Domestic; 2nd IMD quintile; Urban with rural areas
SCR,Yorkshire and The Humber; Emissions: Urban Mainstream; 2nd IMD quintile; Urban
SDE,East Midlands; Emissions: Transport/Domestic; 5th IMD quintile; Rural
SEG,South West; Emissions: Transport/Domestic; 3rd IMD quintile; Urban with rural areas
SEL,Yorkshire and The Humber; Emissions: Industry/Commerical/Domestic; 5th IMD quintile; Rural
SEV,South East; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
SFK,East of England; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
SFT,North West; Emissions: Public sector; 2nd IMD quintile; Urban
SGC,South West; Emissions: Urban Mainstream; 5th IMD quintile; Urban
SHA,South West; Emissions: Transport/Domestic; 5th IMD quintile; Rural
SHE,South East; Emissions: Urban Mainstream; 3rd IMD quintile; Urban with rural areas
SHF,Yorkshire and The Humber; Emissions: Urban Mainstream; 2nd IMD quintile; Urban
SHN,North West; Emissions: Public sector; 1st IMD quintile; Urban
SHO,East Midlands; Emissions: Transport/Domestic; 4th IMD quintile; Rural
SHR,West Midlands; Emissions: Agriculture; 4th IMD quintile; Rural
SKE,East Midlands; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
SKP,North West; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
SLA,North West; Emissions: Agriculture; 5th IMD quintile; Rural
SLF,North West; Emissions: Urban Mainstream; 1st IMD quintile; Urban
SLG,South East; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
SLK,Scotland; Emissions: Urban Mainstream; 3rd IMD quintile; Urban with rural areas
SND,North East; Emissions: Urban Mainstream; 1st IMD quintile; Urban
SNO,East of England; Emissions: Transport/Domestic; 5th IMD quintile; Rural
SOL,West Midlands; Emissions: Urban Mainstream; 4th IMD quintile; Urban
SOM,South West; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
SOS,East of England; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
SOX,South East; Emissions: Transport/Domestic; 5th IMD quintile; Rural
SPE,South East; Emissions: Urban Mainstream; 4th IMD quintile; Urban
SRI,North West; Emissions: Transport/Domestic; 4th IMD quintile; Urban
SRY,South East; Emissions: Transport/Domestic; 5th IMD quintile; Urban
SSO,South West; Emissions: Transport/Domestic; 4th IMD quintile; Rural
SST,West Midlands; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
STA,West Midlands; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
STE,West Midlands; Emissions: Urban Mainstream; 1st IMD quintile; Urban
STF,West Midlands; Emissions: Agriculture; 4th IMD quintile; Urban with rural areas
STG,Scotland; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
STH,South East; Emissions: Urban Mainstream; 2nd IMD quintile; Urban
STN,London; Emissions: Urban Mainstream; 5th IMD quintile; Urban
STO,South West; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
STR,West Midlands; Emissions: Transport/Domestic; 5th IMD quintile; Rural
STS,West Midlands; Emissions: Transport/Domestic; 4th IMD quintile; Urban with rural areas
STT,North East; Emissions: Transport/Domestic; 2nd IMD quintile; Urban
STV,East of England; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
STY,North East; Emissions: Urban Mainstream; 1st IMD quintile; Urban
SUR,South East; Emissions: Transport/Domestic; 5th IMD quintile; Urban
SWA,Wales; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
SWD,South West; Emissions: Urban Mainstream; 4th IMD quintile; Urban
SWK,London; Emissions: Public sector; 2nd IMD quintile; Urban
SWL,South East; Emissions: Urban Mainstream; 2nd IMD quintile; Urban with rural areas
SWT,South West; Emissions: Transport/Domestic; 3rd IMD quintile; Urban with rural areas
TAM,North West; Emissions: Urban Mainstream; 1st IMD quintile; Urban
TAN,South East; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
TAW,West Midlands; Emissions: Urban Mainstream; 3rd IMD quintile; Urban
TEI,South West; Emissions: Transport/Domestic; 4th IMD quintile; Rural
TEN,East of England; Emissions: Transport/Domestic; 1st IMD quintile; Urban with rural areas
TES,South East; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
TEW,South West; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
TFW,West Midlands; Emissions: Urban Mainstream; 2nd IMD quintile; Urban
THA,South East; Emissions: Agriculture; 1st IMD quintile; Urban
THE,East of England; Emissions: Urban Mainstream; 5th IMD quintile; Urban
THR,East of England; Emissions: Transport/Domestic; 3rd IMD quintile; Urban
TOB,South West; Emissions: Urban Mainstream; 2nd IMD quintile; Urban
TOF,Wales; Emissions: Transport/Domestic; 2nd IMD quintile; Urban
TON,South East; Emissions: Urban Mainstream; 5th IMD quintile; Urban with rural areas
TOR,South West; Emissions: Agriculture; 3rd IMD quintile; Sparse and rural
TRF,North West; Emissions: Urban Mainstream; 4th IMD quintile; Urban
TUN,South East; Emissions: Urban Mainstream; 5th IMD quintile; Urban with rural areas
TVCA,North East; Emissions: Transport/Domestic; 1st IMD quintile; Urban
TWH,London; Emissions: Public sector; 2nd IMD quintile; Urban
UTT,East of England; Emissions: Transport/Domestic; 5th IMD quintile; Rural
VAL,South East; Emissions: Transport/Domestic; 5th IMD quintile; Urban with rural areas
